	num_particles	process_std	measurement_std	Q	R	std_a	rotflip_const	mean_test_score	mean_score_time
2297	600	0.14095661522213163	0.363535131663591	1.7804367806835315	1.6584867847986569	2.3219987695013904	0.1	-0.002393222963454674	0.6640605926513672
487	1500	0.11142529893993533	0.4202614502884352	1.4567370762909326	1.3207791273405232	1.4358018611209888	0.1	-0.002393472636165356	0.9010632038116455
2777	1000	0.3340492134077634	0.3163072630398832	0.35421119899243697	0.3678229683197775	2.173190566196946	0.1	-0.002394478832107844	0.9728243350982666
320	1500	0.17311053820958294	0.47712512418772635	1.9479310452579155	2.3289621316508713	1.411774400835292	0.1	-0.002394505483460802	0.9165589809417725
2367	1500	0.3354965778000367	0.31265820400294836	1.7196854049566428	1.881941306983023	2.188160657768902	0.1	-0.0023949789554601956	1.2317872047424316
163	1500	0.18137688551642894	0.3580303534936775	2.993392477836827	0.9760340139066941	1.3466506300504748	0.1	-0.0023964688443778898	1.0020780563354492
379	1500	0.334440432617635	0.2723088049819782	2.4090414752367892	1.0151036614650595	1.2227715886550345	0.1	-0.0023966685068259495	1.2280702590942383
2359	2500	0.36306231258189625	0.26782618609816045	2.02582303318401	2.7155478438024296	1.9728032223510719	0.1	-0.002396886002832273	1.7591257095336914
2352	2500	0.13954584150200966	0.4221924568397654	0.5440302253950329	0.4785279883143211	1.2626294406526837	0.1	-0.0023970282237855078	1.210773229598999
1898	1500	0.3319360503702441	0.3434075222042153	2.5078551393582997	2.574658046640233	2.0537549467113037	0.1	-0.002397172454010899	1.2205088138580322
1100	2500	0.11915053033819525	0.3422396418121819	2.1183128088833034	1.5518295285628305	2.057651245144159	0.1	-0.0023973008155564798	1.3498139381408691
890	1500	0.2996298446016829	0.2968744367564505	2.053570468735682	2.4395215046888716	1.3287861039091124	0.1	-0.0023979282753483926	1.2248034477233887
422	2500	0.28567362134290675	0.48717216119499557	0.7316873920896381	2.193176417403805	2.277608774612326	0.1	-0.002398169613526646	1.3466413021087646
2385	2500	0.37262879750577727	0.3212818011264448	1.3939580030209873	1.3653808341039813	1.6467788048722989	0.1	-0.002398770549774739	1.7420761585235596
449	1500	0.3468951019938129	0.4947728341933	2.720182212466469	2.9312812940752915	1.7835844269942172	0.1	-0.0023988455378931932	1.0099287033081055
1319	1000	0.3168084160385398	0.4294158880530203	2.277740468182979	2.5843637420667878	2.014217346908466	0.1	-0.0023989902470961865	0.8967020511627197
264	600	0.2846581169946006	0.3809251746701336	1.2365904438847624	2.083440765481228	1.0579627345085647	0.1	-0.0023991662772250054	0.6835856437683105
1565	1000	0.24675462533323173	0.44976669522983226	1.2224475574369191	1.7187472540950672	1.1310279722794525	0.1	-0.002400462109458586	0.7946181297302246
469	1500	0.30036629798348746	0.28396980178034964	0.7898154229420525	1.7813463834744072	1.629476987288265	0.1	-0.0024017676407571712	1.2460436820983887
2423	2500	0.18975862429986654	0.44324219689936845	1.1690184359360531	2.1902983215511025	0.8093113765387712	0.1	-0.0024022238369921273	1.319427251815796
1833	1000	0.36172696117129677	0.27312847058713985	0.2600408077099827	0.9739243745269328	1.7049627061291637	0.1	-0.002402240063510702	0.9761106967926025
1107	1500	0.24734066295285048	0.4379389214522542	1.8285961295492117	1.172670644007123	2.3493627237630212	0.1	-0.0024022483604976158	1.0288727283477783
698	1000	0.34988143945187544	0.2989975411051765	2.59161189089157	1.8008395854540988	1.6910062115512465	0.1	-0.0024024097313893877	0.9694623947143555
1570	1000	0.2802065261329012	0.3900158060939944	1.6406303720216155	2.5283980826928323	1.7361370834703047	0.1	-0.0024038777095761643	0.8403174877166748
1868	1500	0.1721478451791672	0.47543129005927703	1.702972304447988	1.851318665422896	1.9967239993237933	0.1	-0.002403928888612451	0.9434974193572998
1323	600	0.2629287850290979	0.34607719546245436	1.149982526915859	1.8048177723999475	2.3409192584082525	0.1	-0.0024040302954201373	0.748286247253418
63	1500	0.2507071567469768	0.4396721185964654	2.930012097910564	1.500408264312698	1.7405670383056298	0.1	-0.0024049142180324213	1.0085155963897705
